Years,x5_hr,rank,Probability,Frequency
"2005-2006",9.44,1,4.54545454545455,22
"2018-2019",8.6,2,9.09090909090909,11
"2014-2015",8.54,3,13.6363636363636,7.33333333333333
"2020-2021",7.58,4,18.1818181818182,5.5
"2006-2007",6.86,5,22.7272727272727,4.4
"2017-2018",6.82,6,27.2727272727273,3.66666666666667
"2009-2010",6.74,7,31.8181818181818,3.14285714285714
"2000-2001",6.66,8,36.3636363636364,2.75
"2013-2014",6.64,9,40.9090909090909,2.44444444444444
"2015-2016",6.54,10,45.4545454545455,2.2
"2019-2020",6.02,11,50,2
"2021-2022",5.8,12,54.5454545454545,1.83333333333333
"2008-2009",5.52,13,59.0909090909091,1.69230769230769
"2003-2004",5.44,14,63.6363636363636,1.57142857142857
"2012-2013",5.06,15,68.1818181818182,1.46666666666667
"2004-2005",4.76,16,72.7272727272727,1.375
"2010-2011",4.6,17,77.2727272727273,1.29411764705882
"2001-2002",4.54,18,81.8181818181818,1.22222222222222
"2011-2012",4.48,19,86.3636363636364,1.15789473684211
"2002-2003",4.24,20,90.9090909090909,1.1
"2016-2017",3.88,21,95.4545454545455,1.04761904761905
