Years,x30_min,rank,Probability,Frequency
"2009-2010",25.2,1,16.6666666666667,6
"2010-2011",19,2,33.3333333333333,3
"2011-2012",17.6,3,50,2
"2008-2009",17.2,4,66.6666666666667,1.5
"2005-2006",14,5,83.3333333333333,1.2
