Years,x3_5_hr,rank,Probability,Frequency
"2013-2014",4.6,1,5.88235294117647,17
"2020-2021",3.94285714285714,2,11.7647058823529,8.5
"2014-2015",3.48571428571429,3,17.6470588235294,5.66666666666667
"2017-2018",3.2,4,23.5294117647059,4.25
"2008-2009",2.74285714285714,5,29.4117647058824,3.4
"2018-2019",2.54285714285714,6,35.2941176470588,2.83333333333333
"2015-2016",2.45714285714286,7,41.1764705882353,2.42857142857143
"2006-2007",2.11428571428571,8,47.0588235294118,2.125
"2007-2008",2.11428571428571,9,52.9411764705882,1.88888888888889
"2009-2010",2.05714285714286,10,58.8235294117647,1.7
"2019-2020",1.88571428571429,11,64.7058823529412,1.54545454545455
"2010-2011",1.8,12,70.5882352941177,1.41666666666667
"2012-2013",1.71428571428571,13,76.4705882352941,1.30769230769231
"2021-2022",1.25714285714286,14,82.3529411764706,1.21428571428571
"2011-2012",1.11428571428571,15,88.2352941176471,1.13333333333333
"2016-2017",1.05714285714286,16,94.1176470588235,1.0625
