Years,x4_hr,rank,Probability,Frequency
"1997-1998",43.125,1,7.69230769230769,13
"2000-2001",12.1875,2,15.3846153846154,6.5
"2002-2003",7.425,3,23.0769230769231,4.33333333333333
"1994-1995",6.0625,4,30.7692307692308,3.25
"2005-2006",5.9,5,38.4615384615385,2.6
"2001-2002",5.35,6,46.1538461538462,2.16666666666667
"1996-1997",4.3125,7,53.8461538461538,1.85714285714286
"2003-2004",3.85,8,61.5384615384615,1.625
"1998-1999",3.75,9,69.2307692307692,1.44444444444444
"2004-2005",3.725,10,76.9230769230769,1.3
"1999-2000",3,11,84.6153846153846,1.18181818181818
"1995-1996",2.875,12,92.3076923076923,1.08333333333333
