Years,x3_hr,rank,Probability,Frequency
"1997-1998",52.5,1,7.69230769230769,13
"2000-2001",16.16666667,2,15.3846153846154,6.5
"2002-2003",8.9,3,23.0769230769231,4.33333333333333
"1994-1995",8.083333333,4,30.7692307692308,3.25
"2005-2006",7.1,5,38.4615384615385,2.6
"2001-2002",5.666666667,6,46.1538461538462,2.16666666666667
"1996-1997",4.916666667,7,53.8461538461538,1.85714285714286
"1998-1999",4.833333333,8,61.5384615384615,1.625
"2004-2005",4.533333333,9,69.2307692307692,1.44444444444444
"2003-2004",4.033333333,10,76.9230769230769,1.3
"1999-2000",3.666666667,11,84.6153846153846,1.18181818181818
"1995-1996",3.166666667,12,92.3076923076923,1.08333333333333
