Years,x30_min,rank,Probability,Frequency
"2008-2009",53.6,1,5.55555555555556,18
"2015-2016",52.6,2,11.1111111111111,9
"2010-2011",52.4,3,16.6666666666667,6
"2011-2012",43.8,4,22.2222222222222,4.5
"2018-2019",41.8,5,27.7777777777778,3.6
"2017-2018",41.6,6,33.3333333333333,3
"2020-2021",40.4,7,38.8888888888889,2.57142857142857
"2009-2010",40,8,44.4444444444444,2.25
"2014-2015",39.4,9,50,2
"2005-2006",36.8,10,55.5555555555556,1.8
"2007-2008",36.6,11,61.1111111111111,1.63636363636364
"2019-2020",34.4,12,66.6666666666667,1.5
"2021-2022",27.4,13,72.2222222222222,1.38461538461538
"2016-2017",27.2,14,77.7777777777778,1.28571428571429
"2012-2013",27,15,83.3333333333333,1.2
"2006-2007",26.8,16,88.8888888888889,1.125
"2013-2014",26.2,17,94.4444444444444,1.05882352941176
