Years,x1_hr,rank,Probability,Frequency
"2017-2018",22.8,1,7.14285714285714,14
"2018-2019",18.4,2,14.2857142857143,7
"2019-2020",14.2,3,21.4285714285714,4.66666666666667
"2009-2010",11,4,28.5714285714286,3.5
"2014-2015",8.2,5,35.7142857142857,2.8
"2013-2014",6.9,6,42.8571428571429,2.33333333333333
"2015-2016",6.5,7,50,2
"2020-2021",4.7,8,57.1428571428571,1.75
"2016-2017",4.5,9,64.2857142857143,1.55555555555556
"2010-2011",4,10,71.4285714285714,1.4
"2012-2013",3.6,11,78.5714285714286,1.27272727272727
"2011-2012",2.9,12,85.7142857142857,1.16666666666667
"2021-2022",2.5,13,92.8571428571429,1.07692307692308
