Years,x4_5_hr,rank,Probability,Frequency
"2016-2017",7.62222222222222,1,9.09090909090909,11
"2010-2011",6.77777777777778,2,18.1818181818182,5.5
"2013-2014",5.88888888888889,3,27.2727272727273,3.66666666666667
"2014-2015",5.8,4,36.3636363636364,2.75
"2012-2013",5.42222222222222,5,45.4545454545455,2.2
"2011-2012",5.13333333333333,6,54.5454545454545,1.83333333333333
"2018-2019",5.04444444444444,7,63.6363636363636,1.57142857142857
"2015-2016",4.82222222222222,8,72.7272727272727,1.375
"2017-2018",4.22222222222222,9,81.8181818181818,1.22222222222222
"2019-2020",2.06666666666667,10,90.9090909090909,1.1
