Years,x30_min,rank,Probability,Frequency
"2012-2013",31.6,1,4.76190476190476,21
"2017-2018",16.4,2,9.52380952380952,10.5
"2016-2017",15.6,3,14.2857142857143,7
"2020-2021",13.8,4,19.047619047619,5.25
"2013-2014",13.4,5,23.8095238095238,4.2
"2021-2022",12,6,28.5714285714286,3.5
"2009-2010",10.8,7,33.3333333333333,3
"2003-2004",9.8,8,38.0952380952381,2.625
"2006-2007",8.4,9,42.8571428571429,2.33333333333333
"2019-2020",8.2,10,47.6190476190476,2.1
"2010-2011",8,11,52.3809523809524,1.90909090909091
"2002-2003",6.4,12,57.1428571428571,1.75
"2018-2019",6.2,13,61.9047619047619,1.61538461538462
"2014-2015",4.8,14,66.6666666666667,1.5
"2015-2016",3.6,15,71.4285714285714,1.4
"2008-2009",2.2,16,76.1904761904762,1.3125
"2004-2005",1.2,17,80.9523809523809,1.23529411764706
"2007-2008",1.2,18,85.7142857142857,1.16666666666667
"2011-2012",1.2,19,90.4761904761905,1.10526315789474
"2005-2006",1,20,95.2380952380952,1.05
