Years,x4_5_hr,rank,Probability,Frequency
"2004-2005",8.73333333333333,1,3.84615384615385,26
"2017-2018",6,2,7.69230769230769,13
"2009-2010",5.88888888888889,3,11.5384615384615,8.66666666666667
"2014-2015",5.37777777777778,4,15.3846153846154,6.5
"2021-2022",5.37777777777778,5,19.2307692307692,5.2
"2018-2019",5.13333333333333,6,23.0769230769231,4.33333333333333
"2000-2001",5.02222222222222,7,26.9230769230769,3.71428571428571
"2015-2016",4.62222222222222,8,30.7692307692308,3.25
"2013-2014",4.28888888888889,9,34.6153846153846,2.88888888888889
"2008-2009",4.04444444444444,10,38.4615384615385,2.6
"1997-1998",3.82222222222222,11,42.3076923076923,2.36363636363636
"2001-2002",3.22222222222222,12,46.1538461538462,2.16666666666667
"2010-2011",2.93333333333333,13,50,2
"2006-2007",2.77777777777778,14,53.8461538461538,1.85714285714286
"2020-2021",2.64444444444444,15,57.6923076923077,1.73333333333333
"2019-2020",2.62222222222222,16,61.5384615384615,1.625
"2005-2006",2.57777777777778,17,65.3846153846154,1.52941176470588
"2012-2013",2.57777777777778,18,69.2307692307692,1.44444444444444
"2011-2012",2.53333333333333,19,73.0769230769231,1.36842105263158
"1999-2000",2.42222222222222,20,76.9230769230769,1.3
"2007-2008",2.31111111111111,21,80.7692307692308,1.23809523809524
"1998-1999",2.04444444444444,22,84.6153846153846,1.18181818181818
"2016-2017",1.82222222222222,23,88.4615384615385,1.1304347826087
"2002-2003",1.73333333333333,24,92.3076923076923,1.08333333333333
"1996-1997",0.755555555555556,25,96.1538461538462,1.04
