Years,x20_min,rank,Probability,Frequency
"2020-2021",25.8,1,5.88235294117647,17
"2014-2015",22.8,2,11.7647058823529,8.5
"2015-2016",18.3,3,17.6470588235294,5.66666666666667
"2012-2013",17.4,4,23.5294117647059,4.25
"2006-2007",15.9,5,29.4117647058824,3.4
"2007-2008",15.6,6,35.2941176470588,2.83333333333333
"2018-2019",12,7,41.1764705882353,2.42857142857143
"2017-2018",9.9,8,47.0588235294118,2.125
"2009-2010",9.3,9,52.9411764705882,1.88888888888889
"2013-2014",9.3,10,58.8235294117647,1.7
"2019-2020",9.3,11,64.7058823529412,1.54545454545455
"2008-2009",9,12,70.5882352941177,1.41666666666667
"2010-2011",6.3,13,76.4705882352941,1.30769230769231
"2016-2017",5.7,14,82.3529411764706,1.21428571428571
"2021-2022",5.4,15,88.2352941176471,1.13333333333333
"2011-2012",5.1,16,94.1176470588235,1.0625
