Years,x2_hr,rank,Probability,Frequency
"2013-2014",24.35,1,4.34782608695652,23
"2011-2012",20.95,2,8.69565217391304,11.5
"2012-2013",20.7,3,13.0434782608696,7.66666666666667
"2017-2018",20.4,4,17.3913043478261,5.75
"2020-2021",18.3,5,21.7391304347826,4.6
"2019-2020",18.25,6,26.0869565217391,3.83333333333333
"2002-2003",15.95,7,30.4347826086957,3.28571428571429
"2016-2017",15,8,34.7826086956522,2.875
"2004-2005",14.9,9,39.1304347826087,2.55555555555556
"2009-2010",14.85,10,43.4782608695652,2.3
"2006-2007",14.3,11,47.8260869565217,2.09090909090909
"2007-2008",14.3,12,52.1739130434783,1.91666666666667
"2010-2011",13.75,13,56.5217391304348,1.76923076923077
"2014-2015",12.9,14,60.8695652173913,1.64285714285714
"2015-2016",12.8,15,65.2173913043478,1.53333333333333
"2003-2004",12.4,16,69.5652173913043,1.4375
"2018-2019",12.25,17,73.9130434782609,1.35294117647059
"2008-2009",11.55,18,78.2608695652174,1.27777777777778
"2000-2001",11.05,19,82.6086956521739,1.21052631578947
"2005-2006",10.85,20,86.9565217391304,1.15
"1999-2000",10.7,21,91.304347826087,1.0952380952381
"2001-2002",7.05,22,95.6521739130435,1.04545454545455
