Years,x5_hr,rank,Probability,Frequency
"1997-1998",12.5,1,3.84615384615385,26
"2003-2004",11.5,2,7.69230769230769,13
"2000-2001",10.06,3,11.5384615384615,8.66666666666667
"2005-2006",9.96,4,15.3846153846154,6.5
"2019-2020",9.96,5,19.2307692307692,5.2
"2001-2002",9.32,6,23.0769230769231,4.33333333333333
"2016-2017",9.12,7,26.9230769230769,3.71428571428571
"2014-2015",8.82,8,30.7692307692308,3.25
"2020-2021",8.68,9,34.6153846153846,2.88888888888889
"2006-2007",8.46,10,38.4615384615385,2.6
"2010-2011",8.16,11,42.3076923076923,2.36363636363636
"2017-2018",7.84,12,46.1538461538462,2.16666666666667
"2009-2010",7.3,13,50,2
"2011-2012",7.3,14,53.8461538461538,1.85714285714286
"2008-2009",6.94,15,57.6923076923077,1.73333333333333
"2012-2013",6.68,16,61.5384615384615,1.625
"2007-2008",6.62,17,65.3846153846154,1.52941176470588
"2018-2019",6.42,18,69.2307692307692,1.44444444444444
"2004-2005",6.18,19,73.0769230769231,1.36842105263158
"1999-2000",5.88,20,76.9230769230769,1.3
"2021-2022",5.68,21,80.7692307692308,1.23809523809524
"1996-1997",4.8,22,84.6153846153846,1.18181818181818
"1998-1999",4.48,23,88.4615384615385,1.1304347826087
"2015-2016",4.38,24,92.3076923076923,1.08333333333333
"2013-2014",3.94,25,96.1538461538462,1.04
