Years,x3_5_hr,rank,Probability,Frequency
"1998-1999",32.2,1,3.44827586206897,29
"2001-2002",20.68571429,2,6.89655172413793,14.5
"2003-2004",15.91428571,3,10.3448275862069,9.66666666666667
"2019-2020",15.74285714,4,13.7931034482759,7.25
"2015-2016",13.94285714,5,17.2413793103448,5.8
"2020-2021",13.8,6,20.6896551724138,4.83333333333333
"1997-1998",13.2,7,24.1379310344828,4.14285714285714
"2017-2018",12.94285714,8,27.5862068965517,3.625
"2014-2015",12.74285714,9,31.0344827586207,3.22222222222222
"2011-2012",11.71428571,10,34.4827586206897,2.9
"2002-2003",10.94285714,11,37.9310344827586,2.63636363636364
"2012-2013",10.08571429,12,41.3793103448276,2.41666666666667
"2016-2017",9.571428571,13,44.8275862068966,2.23076923076923
"1994-1995",9.428571429,14,48.2758620689655,2.07142857142857
"2008-2009",8.971428571,15,51.7241379310345,1.93333333333333
"2006-2007",8.742857143,16,55.1724137931034,1.8125
"2009-2010",8.657142857,17,58.6206896551724,1.70588235294118
"1995-1996",7.828571429,18,62.0689655172414,1.61111111111111
"2018-2019",7.742857143,19,65.5172413793103,1.52631578947368
"1999-2000",7.657142857,20,68.9655172413793,1.45
"2021-2022",7.428571429,21,72.4137931034483,1.38095238095238
"2004-2005",7,22,75.8620689655172,1.31818181818182
"2007-2008",6.742857143,23,79.3103448275862,1.26086956521739
"2010-2011",6.685714286,24,82.7586206896552,1.20833333333333
"2000-2001",6.457142857,25,86.2068965517241,1.16
"1996-1997",6.4,26,89.6551724137931,1.11538461538462
"2005-2006",5.028571429,27,93.1034482758621,1.07407407407407
"2013-2014",4.457142857,28,96.551724137931,1.03571428571429
