Years,x40_min,rank,Probability,Frequency
"2007-2008",35.1,1,5.88235294117647,17
"2011-2012",34.35,2,11.7647058823529,8.5
"2015-2016",32.7,3,17.6470588235294,5.66666666666667
"2014-2015",31.65,4,23.5294117647059,4.25
"2020-2021",31.5,5,29.4117647058824,3.4
"2019-2020",29.85,6,35.2941176470588,2.83333333333333
"2009-2010",28.65,7,41.1764705882353,2.42857142857143
"2018-2019",27.3,8,47.0588235294118,2.125
"2017-2018",25.5,9,52.9411764705882,1.88888888888889
"2012-2013",24.15,10,58.8235294117647,1.7
"2010-2011",23.7,11,64.7058823529412,1.54545454545455
"2008-2009",21.15,12,70.5882352941177,1.41666666666667
"2016-2017",20.4,13,76.4705882352941,1.30769230769231
"2006-2007",17.25,14,82.3529411764706,1.21428571428571
"2021-2022",16.65,15,88.2352941176471,1.13333333333333
"2013-2014",16.05,16,94.1176470588235,1.0625
