Years,x5_hr,rank,Probability,Frequency
"2015-2016",17.04,1,5.55555555555556,18
"2020-2021",13,2,11.1111111111111,9
"2008-2009",9.28,3,16.6666666666667,6
"2019-2020",8.68,4,22.2222222222222,4.5
"2012-2013",8.44,5,27.7777777777778,3.6
"2010-2011",7.82,6,33.3333333333333,3
"2014-2015",7.54,7,38.8888888888889,2.57142857142857
"2018-2019",7.3,8,44.4444444444444,2.25
"2017-2018",6.7,9,50,2
"2016-2017",6.64,10,55.5555555555556,1.8
"2007-2008",6.62,11,61.1111111111111,1.63636363636364
"2011-2012",5.88,12,66.6666666666667,1.5
"2005-2006",5.4,13,72.2222222222222,1.38461538461538
"2006-2007",5.28,14,77.7777777777778,1.28571428571429
"2009-2010",4.98,15,83.3333333333333,1.2
"2013-2014",4.32,16,88.8888888888889,1.125
"2021-2022",3.54,17,94.4444444444444,1.05882352941176
