Years,x4_5_hr,rank,Probability,Frequency
"2013-2014",4.13333333333333,1,5.88235294117647,17
"2020-2021",3.06666666666667,2,11.7647058823529,8.5
"2014-2015",2.95555555555556,3,17.6470588235294,5.66666666666667
"2017-2018",2.55555555555556,4,23.5294117647059,4.25
"2008-2009",2.44444444444444,5,29.4117647058824,3.4
"2018-2019",2.31111111111111,6,35.2941176470588,2.83333333333333
"2009-2010",2.11111111111111,7,41.1764705882353,2.42857142857143
"2007-2008",2,8,47.0588235294118,2.125
"2015-2016",1.93333333333333,9,52.9411764705882,1.88888888888889
"2019-2020",1.71111111111111,10,58.8235294117647,1.7
"2006-2007",1.64444444444444,11,64.7058823529412,1.54545454545455
"2010-2011",1.42222222222222,12,70.5882352941177,1.41666666666667
"2012-2013",1.33333333333333,13,76.4705882352941,1.30769230769231
"2011-2012",1.02222222222222,14,82.3529411764706,1.21428571428571
"2021-2022",1.02222222222222,15,88.2352941176471,1.13333333333333
"2016-2017",0.822222222222222,16,94.1176470588235,1.0625
