Years,x4_5_hr,rank,Probability,Frequency
"1996-1997",8.62222222222222,1,3.7037037037037,27
"2013-2014",8.55555555555556,2,7.40740740740741,13.5
"2019-2020",7.57777777777778,3,11.1111111111111,9
"2014-2015",6.75555555555556,4,14.8148148148148,6.75
"2006-2007",6.28888888888889,5,18.5185185185185,5.4
"2004-2005",5.84444444444444,6,22.2222222222222,4.5
"2012-2013",5.53333333333333,7,25.9259259259259,3.85714285714286
"2005-2006",5.04444444444444,8,29.6296296296296,3.375
"2017-2018",5.02222222222222,9,33.3333333333333,3
"2015-2016",4.95555555555556,10,37.037037037037,2.7
"2009-2010",4.6,11,40.7407407407407,2.45454545454545
"2018-2019",4.2,12,44.4444444444444,2.25
"2008-2009",4.06666666666667,13,48.1481481481481,2.07692307692308
"1997-1998",3.86666666666667,14,51.8518518518518,1.92857142857143
"2002-2003",3.71111111111111,15,55.5555555555556,1.8
"2001-2002",3.57777777777778,16,59.2592592592593,1.6875
"1999-2000",3.31111111111111,17,62.962962962963,1.58823529411765
"2003-2004",3.28888888888889,18,66.6666666666667,1.5
"2011-2012",3.22222222222222,19,70.3703703703704,1.42105263157895
"2021-2022",3,20,74.0740740740741,1.35
"2000-2001",2.95555555555556,21,77.7777777777778,1.28571428571429
"2007-2008",2.71111111111111,22,81.4814814814815,1.22727272727273
"1998-1999",2.6,23,85.1851851851852,1.17391304347826
"2016-2017",2.2,24,88.8888888888889,1.125
"2020-2021",2.15555555555556,25,92.5925925925926,1.08
"2010-2011",2.08888888888889,26,96.2962962962963,1.03846153846154
