Years,x10_min,rank,Probability,Frequency
"2018-2019",66,1,5.88235294117647,17
"2011-2012",64.8,2,11.7647058823529,8.5
"2014-2015",64.8,3,17.6470588235294,5.66666666666667
"2020-2021",61.2,4,23.5294117647059,4.25
"2009-2010",57.6,5,29.4117647058824,3.4
"2019-2020",55.8,6,35.2941176470588,2.83333333333333
"2008-2009",52.2,7,41.1764705882353,2.42857142857143
"2013-2014",49.8,8,47.0588235294118,2.125
"2017-2018",46.2,9,52.9411764705882,1.88888888888889
"2010-2011",44.4,10,58.8235294117647,1.7
"2012-2013",43.2,11,64.7058823529412,1.54545454545455
"2007-2008",42,12,70.5882352941177,1.41666666666667
"2006-2007",37.8,13,76.4705882352941,1.30769230769231
"2021-2022",36.6,14,82.3529411764706,1.21428571428571
"2016-2017",35.4,15,88.2352941176471,1.13333333333333
"2015-2016",34.8,16,94.1176470588235,1.0625
