Years,x2_hr,rank,Probability,Frequency
"2009-2010",19.9,1,5.88235294117647,17
"2011-2012",17.55,2,11.7647058823529,8.5
"2020-2021",14.9,3,17.6470588235294,5.66666666666667
"2019-2020",14.75,4,23.5294117647059,4.25
"2018-2019",14.4,5,29.4117647058824,3.4
"2015-2016",14.35,6,35.2941176470588,2.83333333333333
"2014-2015",14.25,7,41.1764705882353,2.42857142857143
"2012-2013",14.2,8,47.0588235294118,2.125
"2007-2008",12.35,9,52.9411764705882,1.88888888888889
"2016-2017",11.35,10,58.8235294117647,1.7
"2021-2022",10.8,11,64.7058823529412,1.54545454545455
"2006-2007",9.85,12,70.5882352941177,1.41666666666667
"2008-2009",9.05,13,76.4705882352941,1.30769230769231
"2017-2018",8.55,14,82.3529411764706,1.21428571428571
"2013-2014",8.1,15,88.2352941176471,1.13333333333333
"2010-2011",7.9,16,94.1176470588235,1.0625
