Years,x30_min,rank,Probability,Frequency
"1995-1996",72,1,3.44827586206897,29
"2000-2001",58.6,2,6.89655172413793,14.5
"2017-2018",41.6,3,10.3448275862069,9.66666666666667
"2014-2015",34.6,4,13.7931034482759,7.25
"1996-1997",34,5,17.2413793103448,5.8
"2006-2007",31.2,6,20.6896551724138,4.83333333333333
"2005-2006",30.6,7,24.1379310344828,4.14285714285714
"1994-1995",27.8,8,27.5862068965517,3.625
"2009-2010",26.372,9,31.0344827586207,3.22222222222222
"2008-2009",26,10,34.4827586206897,2.9
"2003-2004",25,11,37.9310344827586,2.63636363636364
"2012-2013",23,12,41.3793103448276,2.41666666666667
"1997-1998",21.6,13,44.8275862068966,2.23076923076923
"2015-2016",20.8,14,48.2758620689655,2.07142857142857
"2018-2019",19.2,15,51.7241379310345,1.93333333333333
"2020-2021",19,16,55.1724137931034,1.8125
"2002-2003",18.8,17,58.6206896551724,1.70588235294118
"2016-2017",18.8,18,62.0689655172414,1.61111111111111
"2013-2014",18.6,19,65.5172413793103,1.52631578947368
"2007-2008",17.8,20,68.9655172413793,1.45
"2001-2002",17.2,21,72.4137931034483,1.38095238095238
"1999-2000",15.6,22,75.8620689655172,1.31818181818182
"2021-2022",14.8,23,79.3103448275862,1.26086956521739
"2011-2012",14.8,24,82.7586206896552,1.20833333333333
"2019-2020",14.4,25,86.2068965517241,1.16
"2010-2011",14.2,26,89.6551724137931,1.11538461538462
"2004-2005",13.2,27,93.1034482758621,1.07407407407407
"1998-1999",11.2,28,96.551724137931,1.03571428571429
