Years,x1_5_hr,rank,Probability,Frequency
"2012-2013",10.2,1,5.88235294117647,17
"2014-2015",9.6,2,11.7647058823529,8.5
"2013-2014",6.73333333333333,3,17.6470588235294,5.66666666666667
"2007-2008",5.93333333333333,4,23.5294117647059,4.25
"2018-2019",5.93333333333333,5,29.4117647058824,3.4
"2008-2009",5.26666666666667,6,35.2941176470588,2.83333333333333
"2009-2010",5.2,7,41.1764705882353,2.42857142857143
"2015-2016",4.46666666666667,8,47.0588235294118,2.125
"2019-2020",4.2,9,52.9411764705882,1.88888888888889
"2006-2007",4.13333333333333,10,58.8235294117647,1.7
"2020-2021",3.6,11,64.7058823529412,1.54545454545455
"2021-2022",3.13333333333333,12,70.5882352941177,1.41666666666667
"2010-2011",3.06666666666667,13,76.4705882352941,1.30769230769231
"2017-2018",2.46666666666667,14,82.3529411764706,1.21428571428571
"2016-2017",2.33333333333333,15,88.2352941176471,1.13333333333333
"2011-2012",1.73333333333333,16,94.1176470588235,1.0625
