Years,x30_min,rank,Probability,Frequency
"2011-2012",39.6,1,9.09090909090909,11
"2013-2014",33.8,2,18.1818181818182,5.5
"2015-2016",28,3,27.2727272727273,3.66666666666667
"2018-2019",24.2,4,36.3636363636364,2.75
"2016-2017",24,5,45.4545454545455,2.2
"2010-2011",22,6,54.5454545454545,1.83333333333333
"2012-2013",17.8,7,63.6363636363636,1.57142857142857
"2014-2015",16.4,8,72.7272727272727,1.375
"2017-2018",15.6,9,81.8181818181818,1.22222222222222
"2019-2020",14.2,10,90.9090909090909,1.1
