Years,x4_hr,rank,Probability,Frequency
"2005-2006",17.075,1,3.44827586206897,29
"2000-2001",16.9,2,6.89655172413793,14.5
"1995-1996",15.5,3,10.3448275862069,9.66666666666667
"1996-1997",9.575,4,13.7931034482759,7.25
"2014-2015",9.15,5,17.2413793103448,5.8
"2002-2003",8.925,6,20.6896551724138,4.83333333333333
"1997-1998",8.825,7,24.1379310344828,4.14285714285714
"2018-2019",8.75,8,27.5862068965517,3.625
"2001-2002",8.05,9,31.0344827586207,3.22222222222222
"2009-2010",7.9855,10,34.4827586206897,2.9
"2016-2017",7.9,11,37.9310344827586,2.63636363636364
"2006-2007",7.8,12,41.3793103448276,2.41666666666667
"2017-2018",7.725,13,44.8275862068966,2.23076923076923
"2007-2008",7.5,14,48.2758620689655,2.07142857142857
"2003-2004",7.125,15,51.7241379310345,1.93333333333333
"2012-2013",7.075,16,55.1724137931034,1.8125
"2020-2021",6.65,17,58.6206896551724,1.70588235294118
"2008-2009",6.625,18,62.0689655172414,1.61111111111111
"2004-2005",6.275,19,65.5172413793103,1.52631578947368
"2011-2012",6.075,20,68.9655172413793,1.45
"2010-2011",5.925,21,72.4137931034483,1.38095238095238
"2021-2022",5.925,22,75.8620689655172,1.31818181818182
"1994-1995",5.9,23,79.3103448275862,1.26086956521739
"2013-2014",5.65,24,82.7586206896552,1.20833333333333
"1999-2000",5.625,25,86.2068965517241,1.16
"2019-2020",5.125,26,89.6551724137931,1.11538461538462
"2015-2016",5.1,27,93.1034482758621,1.07407407407407
"1998-1999",4.5,28,96.551724137931,1.03571428571429
