Years,x20_min,rank,Probability,Frequency
"2005-2006",48.3,1,5.55555555555556,18
"2007-2008",47.4,2,11.1111111111111,9
"2009-2010",43.8,3,16.6666666666667,6
"2008-2009",42.9,4,22.2222222222222,4.5
"2017-2018",33.9,5,27.7777777777778,3.6
"2016-2017",32.7,6,33.3333333333333,3
"2015-2016",30.3,7,38.8888888888889,2.57142857142857
"2013-2014",27.9,8,44.4444444444444,2.25
"2018-2019",27.6,9,50,2
"2012-2013",26.4,10,55.5555555555556,1.8
"2019-2020",24.6,11,61.1111111111111,1.63636363636364
"2020-2021",23.1,12,66.6666666666667,1.5
"2014-2015",22.8,13,72.2222222222222,1.38461538461538
"2006-2007",22.2,14,77.7777777777778,1.28571428571429
"2010-2011",21.3,15,83.3333333333333,1.2
"2021-2022",19.8,16,88.8888888888889,1.125
"2011-2012",17.7,17,94.4444444444444,1.05882352941176
