Years,x40_min,rank,Probability,Frequency
"1995-1996",61.5,1,3.44827586206897,29
"2000-2001",49.5,2,6.89655172413793,14.5
"2006-2007",33.3,3,10.3448275862069,9.66666666666667
"2017-2018",32.85,4,13.7931034482759,7.25
"2005-2006",30.75,5,17.2413793103448,5.8
"1996-1997",30.3,6,20.6896551724138,4.83333333333333
"2014-2015",29.7,7,24.1379310344828,4.14285714285714
"2008-2009",23.25,8,27.5862068965517,3.625
"2009-2010",22.1685,9,31.0344827586207,3.22222222222222
"1994-1995",20.85,10,34.4827586206897,2.9
"2003-2004",19.35,11,37.9310344827586,2.63636363636364
"2012-2013",18.3,12,41.3793103448276,2.41666666666667
"2002-2003",18,13,44.8275862068966,2.23076923076923
"1997-1998",16.95,14,48.2758620689655,2.07142857142857
"2015-2016",16.8,15,51.7241379310345,1.93333333333333
"2018-2019",16.8,16,55.1724137931034,1.8125
"2001-2002",16.35,17,58.6206896551724,1.70588235294118
"2016-2017",16.2,18,62.0689655172414,1.61111111111111
"2013-2014",15.3,19,65.5172413793103,1.52631578947368
"2007-2008",15.3,20,68.9655172413793,1.45
"2020-2021",14.7,21,72.4137931034483,1.38095238095238
"2021-2022",13.2,22,75.8620689655172,1.31818181818182
"2019-2020",13.05,23,79.3103448275862,1.26086956521739
"1999-2000",12.75,24,82.7586206896552,1.20833333333333
"2011-2012",12.75,25,86.2068965517241,1.16
"2010-2011",12.6,26,89.6551724137931,1.11538461538462
"2004-2005",12,27,93.1034482758621,1.07407407407407
"1998-1999",10.5,28,96.551724137931,1.03571428571429
