Years,x3_hr,rank,Probability,Frequency
"2005-2006",11.9,1,4.54545454545455,22
"2014-2015",11.7666666666667,2,9.09090909090909,11
"2018-2019",10.6333333333333,3,13.6363636363636,7.33333333333333
"2009-2010",10.2333333333333,4,18.1818181818182,5.5
"2017-2018",8.56666666666667,5,22.7272727272727,4.4
"2008-2009",8.53333333333333,6,27.2727272727273,3.66666666666667
"2000-2001",8.23333333333333,7,31.8181818181818,3.14285714285714
"2013-2014",8.16666666666667,8,36.3636363636364,2.75
"2020-2021",8.03333333333333,9,40.9090909090909,2.44444444444444
"2003-2004",7.93333333333333,10,45.4545454545455,2.2
"2006-2007",7.56666666666667,11,50,2
"2015-2016",7.56666666666667,12,54.5454545454545,1.83333333333333
"2021-2022",7,13,59.0909090909091,1.69230769230769
"2019-2020",6.93333333333333,14,63.6363636363636,1.57142857142857
"2001-2002",6.36666666666667,15,68.1818181818182,1.46666666666667
"2012-2013",6.13333333333333,16,72.7272727272727,1.375
"2004-2005",6,17,77.2727272727273,1.29411764705882
"2016-2017",5.8,18,81.8181818181818,1.22222222222222
"2011-2012",5.5,19,86.3636363636364,1.15789473684211
"2010-2011",5.3,20,90.9090909090909,1.1
"2002-2003",5,21,95.4545454545455,1.04761904761905
