Years,x4_hr,rank,Probability,Frequency
"2005-2006",23.55,1,3.2258064516129,31
"2021-2022",15.2,2,6.45161290322581,15.5
"2001-2002",14.975,3,9.67741935483871,10.3333333333333
"2017-2018",14.925,4,12.9032258064516,7.75
"2014-2015",13.825,5,16.1290322580645,6.2
"2020-2021",12.05,6,19.3548387096774,5.16666666666667
"1997-1998",11.975,7,22.5806451612903,4.42857142857143
"1996-1997",11.825,8,25.8064516129032,3.875
"2019-2020",11.725,9,29.0322580645161,3.44444444444444
"1998-1999",11.425,10,32.258064516129,3.1
"2016-2017",11.075,11,35.4838709677419,2.81818181818182
"1992-1993",10.9375,12,38.7096774193548,2.58333333333333
"2015-2016",9.325,13,41.9354838709677,2.38461538461538
"2002-2003",9.225,14,45.1612903225806,2.21428571428571
"2007-2008",9.2,15,48.3870967741936,2.06666666666667
"2003-2004",9.025,16,51.6129032258064,1.9375
"2009-2010",8.6,17,54.8387096774194,1.82352941176471
"2010-2011",8.275,18,58.0645161290323,1.72222222222222
"2012-2013",8,19,61.2903225806452,1.63157894736842
"2004-2005",7.4,20,64.5161290322581,1.55
"1991-1992",7.25,21,67.741935483871,1.47619047619048
"1993-1994",6.875,22,70.9677419354839,1.40909090909091
"2011-2012",6.45,23,74.1935483870968,1.34782608695652
"2013-2014",6.375,24,77.4193548387097,1.29166666666667
"2000-2001",6.225,25,80.6451612903226,1.24
"2018-2019",6.2,26,83.8709677419355,1.19230769230769
"2008-2009",5.85,27,87.0967741935484,1.14814814814815
"1990-1991",5.8125,28,90.3225806451613,1.10714285714286
"2006-2007",5.5,29,93.5483870967742,1.06896551724138
"1995-1996",4.1875,30,96.7741935483871,1.03333333333333
